source,update,global_step,episode_return,env_return,eval_mean_delivered_food,eval_mean_delivered_food_per_1000_ant_steps,delivery_events,pickup_events,mean_carrying_ants,final_mean_visited_cell_fraction,write_action_nonzero_rate,entropy,approx_kl,grad_norm,value_loss
50x50 largo,16,20480.0,0.13897636532783508,0.0625,,,1.0,1.0,3.8929688930511475,0.49267497658729553,0.21367187798023224,0.37861722707748413,0.001776085584424436,2.9033432006835938,0.20574362576007843
50x50 largo,17,21760.0,0.13898810744285583,0.0625,,,1.0,0.0,3.836718797683716,0.5070499777793884,0.22968749701976776,0.3713475465774536,0.0021751499734818935,4.251189231872559,0.1624147742986679
50x50 largo,18,23040.0,0.07698887586593628,0.0,,,0.0,0.0,3.8125,0.5219249725341797,0.2490234375,0.3758953809738159,0.0019885979127138853,2.697377920150757,0.17248763144016266
50x50 largo,19,24320.0,0.1909673810005188,0.125,,,2.0,1.0,3.750781297683716,0.5329499840736389,0.24550782144069672,0.34395062923431396,0.002419034717604518,2.5363049507141113,0.0900002270936966
50x50 largo,20,25600.0,0.18484577536582947,0.125,,,2.0,2.0,3.76953125,0.5420500040054321,0.25957033038139343,0.3872131109237671,0.001635353546589613,3.3096609115600586,0.1493285447359085
50x50 largo,21,26880.0,0.18399512767791748,0.125,,,2.0,1.0,3.6734375953674316,0.5517250299453735,0.2798828184604645,0.4158725440502167,0.0039444840513169765,5.6210479736328125,0.15619409084320068
50x50 largo,22,28160.0,0.12154661118984222,0.0625,,,1.0,3.0,3.7718751430511475,0.5619750022888184,0.3031249940395355,0.45351889729499817,0.0018478372367098927,4.413873672485352,0.12396947294473648
50x50 largo,23,29440.0,0.046760499477386475,0.0,,,0.0,0.0,3.8125,0.5735499858856201,0.33906251192092896,0.4853605329990387,0.001561654731631279,2.460501194000244,0.08230656385421753
50x50 largo,24,30720.0,0.028749879449605942,0.0,,,0.0,0.0,3.8125,0.5824249982833862,0.3955078125,0.5264307260513306,0.0027649509720504284,7.92327356338501,0.28566408157348633
50x50 largo,25,32000.0,0.14975261688232422,0.125,,,2.0,1.0,3.731250047683716,0.5905499458312988,0.40234375,0.5109760761260986,0.002494433196261525,1.698190689086914,0.09440258145332336
50x50 largo,26,33280.0,0.0807533785700798,0.0625,,,1.0,0.0,3.7406251430511475,0.5952999591827393,0.4056640565395355,0.4782882630825043,0.004494023974984884,4.348775386810303,0.09954186528921127
50x50 largo,27,34560.0,0.1270279884338379,0.125,,,2.0,0.0,3.6312501430511475,0.5960500240325928,0.443359375,0.4408184587955475,0.003679001936689019,5.0334367752075195,0.08417034149169922
50x50 largo,28,35840.0,0.0010551250306889415,0.0,,,0.0,0.0,3.5625,0.5963499546051025,0.575976550579071,0.4790208041667938,0.00104545708745718,2.9811456203460693,0.06135037541389465
50x50 largo,29,37120.0,0.06945724785327911,0.0625,,,1.0,2.0,3.6171875,0.5965249538421631,0.685742199420929,0.5061463713645935,0.00217350572347641,2.2348849773406982,0.04088769108057022
50x50 largo,30,38400.0,0.0040270001627504826,0.0,,,0.0,1.0,3.676562547683716,0.5967999696731567,0.704882800579071,0.5529811382293701,0.004016967490315437,2.6600141525268555,0.0344720184803009
50x50 largo,31,39680.0,0.00627112528309226,0.0,,,0.0,2.0,3.739062547683716,0.5968499779701233,0.7142578363418579,0.48649996519088745,0.002982043195515871,1.9311169385910034,0.03505187854170799
