commit	full_hash	date	family	status	old_path	path	subject
19098d9	19098d9d753ca33931382a16c1bb19b9e1b52e8b	2026-06-11T21:08:35-03:00	communication-memory-bytes	D	.	train_mappo.py	refactor: split torch mappo trainer
e646a13	e646a13cabb16c40df54e98bd7ca094f31e2e272	2026-06-11T21:10:11-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/jax_mappo/__init__.py	refactor: split jax mappo trainer
e646a13	e646a13cabb16c40df54e98bd7ca094f31e2e272	2026-06-11T21:10:11-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/jax_mappo/checkpointing.py	refactor: split jax mappo trainer
e646a13	e646a13cabb16c40df54e98bd7ca094f31e2e272	2026-06-11T21:10:11-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/jax_mappo/cli.py	refactor: split jax mappo trainer
e646a13	e646a13cabb16c40df54e98bd7ca094f31e2e272	2026-06-11T21:10:11-03:00	communication-memory-bytes	R100	train_mappo_jax_core.py	src/ant_byte_env/training/jax_mappo/core.py	refactor: split jax mappo trainer
e646a13	e646a13cabb16c40df54e98bd7ca094f31e2e272	2026-06-11T21:10:11-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/jax_mappo/curriculum.py	refactor: split jax mappo trainer
e646a13	e646a13cabb16c40df54e98bd7ca094f31e2e272	2026-06-11T21:10:11-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/jax_mappo/rollout.py	refactor: split jax mappo trainer
e646a13	e646a13cabb16c40df54e98bd7ca094f31e2e272	2026-06-11T21:10:11-03:00	communication-memory-bytes	A	.	src/ant_byte_env/training/jax_mappo/runner.py	refactor: split jax mappo trainer
e646a13	e646a13cabb16c40df54e98bd7ca094f31e2e272	2026-06-11T21:10:11-03:00	communication-memory-bytes	M	.	tests/test_train_mappo_jax.py	refactor: split jax mappo trainer
e646a13	e646a13cabb16c40df54e98bd7ca094f31e2e272	2026-06-11T21:10:11-03:00	communication-memory-bytes	D	.	train_mappo_jax.py	refactor: split jax mappo trainer
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	M	.	.gitignore	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	A	.	experiments/communication_bits.json	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	A	.	experiments/forage_curriculum.json	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	A	.	experiments/smoke.json	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	A	.	src/ant_byte_env/cli.py	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	A	.	src/ant_byte_env/experiments.py	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	A	.	src/ant_byte_env/rendering.py	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	A	.	src/ant_byte_env/results.py	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	A	.	src/ant_byte_env/runs.py	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	M	.	src/ant_byte_env/training/jax_mappo/__init__.py	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	M	.	src/ant_byte_env/training/jax_mappo/cli.py	feat: add research workflow cli
cc072b7	cc072b725eb2c26276e913ce71216c2d89967dd2	2026-06-11T21:15:55-03:00	communication-memory-bytes	M	.	src/ant_byte_env/training/jax_mappo/runner.py	feat: add research workflow cli
