run_dir	family	evidence_files	summary	evaluation	train_result	config	plan	experiment_md	metrics_jsonl	metric_source	eval_mean_delivered_food	eval_mean_delivered_fraction	eval_success_rate	delivery_events	pickup_events	env_return	episode_return	final_mean_remaining_food	best_model_metric_value	global_step	update	num_updates
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_SHORT_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_SHORT_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_SHORT_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_SHORT_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_SHORT_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_SHORT_430/evaluation.json	21.739583333333332	0.945199275362319	0.4479166666666667	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_430/evaluation.json	17.979166666666668	0.7817028985507246	0.13541666666666666	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_TRAIL_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_TRAIL_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_TRAIL_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_TRAIL_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_TRAIL_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_DENSE2_TRAIL_430/evaluation.json	17.739583333333332	0.771286231884058	0.09375	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_HELDOUT_SELECT_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_HELDOUT_SELECT_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_HELDOUT_SELECT_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_HELDOUT_SELECT_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_HELDOUT_SELECT_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_HELDOUT_SELECT_430/evaluation.json	21.8046875	0.9480298913043479	0.5859375	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_POLISH_FINE_TEMP	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_POLISH_FINE_TEMP/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_POLISH_FINE_TEMP/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_POLISH_FINE_TEMP/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_POLISH_FINE_TEMP/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_POLISH_FINE_TEMP/evaluation.json	21.895833333333332	0.9519927536231885	0.4479166666666667	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_RAMP_24A_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_RAMP_24A_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_RAMP_24A_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_RAMP_24A_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_RAMP_24A_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_RAMP_24A_430/evaluation.json	20.541666666666668	0.8931159420289855	0.2708333333333333	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_REMAINING_SELECT_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_REMAINING_SELECT_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_REMAINING_SELECT_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_REMAINING_SELECT_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_REMAINING_SELECT_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_REMAINING_SELECT_430/evaluation.json	21.703125	0.9436141304347827	0.53125	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_430/evaluation.json	21.354166666666668	0.9284420289855072	0.4166666666666667	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_FINAL_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_FINAL_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_FINAL_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_FINAL_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_FINAL_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_FINAL_430/evaluation.json	21.958333333333332	0.9547101449275363	0.4270833333333333	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_POLISH_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_POLISH_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_POLISH_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_POLISH_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_POLISH_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_SOURCES12_POLISH_430/evaluation.json	21.765625	0.9463315217391305	0.46875	.	.	.	.	.	.	.	.	.
