commit	full_hash	date	refs	family	subject	changed_file_count	change_statuses	changed_paths
93bf753	93bf7537eb9181165f2691ed5082150585442324	2026-06-25T14:15:00-03:00	.	communication-memory-bytes	refactor jax mappo integration cleanup	28	A;M	.gitignore;README.md;docs/experiments.md;docs/integration_audit.md;notebooks/README.md;pyproject.toml;results/curated/README.md;results/curated/index.json;src/ant_byte_env/notebook_workflows.py;src/ant_byte_env/rendering.py;src/ant_byte_env/research_loop.py;src/ant_byte_env/training/jax_mappo/__init__.py;src/ant_byte_env/training/jax_mappo/checkpointing.py;src/ant_byte_env/training/jax_mappo/cli.py;src/ant_byte_env/training/jax_mappo/core.py;src/ant_byte_env/training/jax_mappo/evaluation.py;src/ant_byte_env/training/jax_mappo/models.py;src/ant_byte_env/training/jax_mappo/observations.py;src/ant_byte_env/training/jax_mappo/policy.py;src/ant_byte_env/training/jax_mappo/probe.py;src/ant_byte_env/training/jax_mappo/rewards.py;src/ant_byte_env/training/jax_mappo/rollout.py;src/ant_byte_env/training/jax_mappo/runner.py;src/ant_byte_env/training/jax_mappo/transfer.py;src/ant_byte_env/training/jax_mappo/transfer_shapes.py;src/ant_byte_env/training/jax_mappo/types.py;src/ant_byte_env/training/jax_mappo/updates.py;tests/test_notebook_layout.py
adecfd9	adecfd94dd30cb9f22f10708d698f8f1d2cc236e	2026-06-25T14:22:19-03:00	.	critic-full-layout-50x50	chore: remove one-off continuation launchers	4	D;M	docs/experiments.md;docs/integration_audit.md;scripts/run_full_layout_8ants_half_food_continuation.py;scripts/run_full_layout_proximity_continuation.py
ad1039d	ad1039d01bb653af84f0d54b418564a037cdd772	2026-06-25T14:27:02-03:00	.	ant-count-25x25-autoresearch	docs: preserve gated map-ant mlp curriculum	2	M	docs/experiments.md;docs/integration_audit.md
699cd2a	699cd2a4d7b38fccb075c17ce183db9c4258b11f	2026-06-25T14:53:00-03:00	.	ant-count-25x25-autoresearch	feat: preserve gated map-ant mlp curriculum	12	A;M	docs/experiments.md;docs/integration_audit.md;docs/map_ant_gated_mlp_curriculum.md;experiments/map_ant_gated_mlp_curriculum.json;notebooks/README.md;notebooks/historical/map_ant_gated_mlp_curriculum.ipynb;src/ant_byte_env/cli.py;src/ant_byte_env/training/jax_mappo/evaluation.py;src/ant_byte_env/workflows/__init__.py;src/ant_byte_env/workflows/map_ant.py;tests/test_map_ant_curriculum.py;tests/test_notebook_layout.py
6b00c67	6b00c679b38797b3474eeda40a6520bd39fdb9d9	2026-06-25T14:53:06-03:00	.	communication-memory-bytes	refactor: split jax mappo transfer helpers	5	A;M	src/ant_byte_env/training/jax_mappo/__init__.py;src/ant_byte_env/training/jax_mappo/transfer.py;src/ant_byte_env/training/jax_mappo/transfer_actor.py;src/ant_byte_env/training/jax_mappo/transfer_critic.py;tests/test_train_mappo_jax.py
4d90e4d	4d90e4d9d23c8423131aea73e11e81949c70d99a	2026-06-25T14:53:09-03:00	.	communication-memory-bytes	chore: keep torch dry-runs lightweight	1	M	src/ant_byte_env/training/torch_mappo/__init__.py
c241433	c2414332fd31b8fab99d9eb45a30a8b85e6bc2ef	2026-06-25T14:59:03-03:00	origin/repo/research-integration-cleanup	jax-mappo-training-core	test: skip torch mappo tests without torchrl extras	1	M	tests/test_train_mappo.py
e59a0fb	e59a0fbe9eafe72bc1252c188612383166702bc1	2026-06-25T16:03:26-03:00	.	critic-full-layout-50x50	feat: add shared-write bit cost notebook	5	A;M	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost.json;notebooks/README.md;notebooks/scaling/full_layout_8ants_half_food_shared_writes_write_cost_50x50.ipynb;tests/test_notebook_layout.py;tests/test_workflow_experiments.py
26e5968	26e59681e8e9766994c68049f95d728812a67e18	2026-06-25T16:39:49-03:00	.	critic-full-layout-50x50	tune: increase shared-write bit penalty	2	M	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost.json;tests/test_workflow_experiments.py
97ccf63	97ccf634162bf489d1266d0330722257a8e6751b	2026-06-25T16:45:14-03:00	.	critic-full-layout-50x50	tune: make shared-write bit penalty strict	2	M	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost.json;tests/test_workflow_experiments.py
80a330b	80a330b6be7aa2d3d07bda05435365e75ae0d7ea	2026-06-25T17:06:57-03:00	.	communication-memory-bytes	feat: add jax data parallel helpers	3	A;M	src/ant_byte_env/training/jax_mappo/cli.py;src/ant_byte_env/training/jax_mappo/data_parallel.py;tests/test_train_mappo_jax.py
7e29845	7e298453817a22b592caff04a724bbefefe68568	2026-06-25T17:10:25-03:00	.	communication-memory-bytes	feat: wire jax data parallel trainer	2	M	src/ant_byte_env/training/jax_mappo/data_parallel.py;src/ant_byte_env/training/jax_mappo/runner.py
bb6d481	bb6d4810576a88338d880e253a976b34fc7fb090	2026-06-25T17:12:41-03:00	.	critic-full-layout-50x50	chore: add multidevice 16-ant run config	1	A	experiments/exploration_to_forage_full_layout_16ants_half_food_8types_50x50_multidevice.json
a634252	a634252b73ef7e66d5cf613ce123dc3ff8e927c3	2026-06-25T20:38:43-03:00	.	jax-mappo-training-core	feat: add channel grid checkpoint renderer	1	A	scripts/render_jax_channel_grid_video.py
02c71f0	02c71f071aed4c035297b1ecfc3e5aa28bc2f3e1	2026-06-25T21:34:01-03:00	.	jax-mappo-training-core	fix: label channel grid panels as bits	1	M	scripts/render_jax_channel_grid_video.py
2c17ba9	2c17ba909f51663aa8fb247e4a565f7055fbfb3a	2026-06-25T21:39:14-03:00	.	jax-mappo-training-core	feat: support centered no-food channel rollouts	1	M	scripts/render_jax_channel_grid_video.py
d68e9c3	d68e9c3e0e728219ad2a865011c234e5307fa154	2026-06-25T21:55:24-03:00	.	critic-full-layout-50x50	feat: add higher write cost experiments	2	A	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x10.json;experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x100.json
6764ea4	6764ea46b6598e469749179ce7a29807f42cc511	2026-06-25T22:04:36-03:00	.	critic-full-layout-50x50	fix: shorten write cost wandb groups	2	M	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x10.json;experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x100.json
95d1800	95d1800393f80bacd9451a4547d2d4322ba5b67b	2026-06-26T11:09:30-03:00	.	critic-full-layout-50x50	feat: add x1000 write cost experiment	1	A	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x1000.json
0aadc17	0aadc17164c859102d7dee23eb3aa22728617e4e	2026-06-26T11:14:12-03:00	.	critic-full-layout-50x50	feat: add x10000 write cost experiment	1	A	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x10000.json
434fc60	434fc60f85027777aca0e0f249b97d93c1c7cc07	2026-06-26T17:29:33-03:00	.	critic-full-layout-50x50	feat: add x500 write cost experiment	1	A	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x500.json
dcfc7a1	dcfc7a187ffab0c2297c326b5b543ec499f9d981	2026-06-26T17:47:39-03:00	.	critic-full-layout-50x50	feat: add x200 write cost experiment	1	A	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x200.json
f119b4e	f119b4e6ecf29f32a84e33f071bf36a80d9efae9	2026-06-26T18:13:48-03:00	.	critic-full-layout-50x50	feat: add x5 write cost experiment	1	A	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x5.json
55a4efb	55a4efb45fd14484d557be75c9628dcc3e93d7a8	2026-06-26T18:23:35-03:00	.	critic-full-layout-50x50	feat: add x50 write cost experiment	1	A	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x50.json
83d54e7	83d54e7aad75af574e313778dc46bd1d93b3eafa	2026-06-26T18:34:48-03:00	origin/feat/multi-device-jax-mappo	critic-full-layout-50x50	feat: add x150 write cost experiment	1	A	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_x150.json
